date,type,duration_hms,duration_seconds,latitude,longitude,latitude_numeric,longitude_numeric,saros_cycle,gamma,magnitude,path_width_km
-1926-01-18,Annular,00:04:50,290,33.5S,105.5W,-33.53616000,-105.48297000,10,-.17413000,.95696000,159.30000000
-1926-07-14,Hybrid,00:00:46,46,36.8N,22.8E,36.82790000,22.84149000,15,.22158000,1.00794000,28.20000000
-1925-01-07,Hybrid,00:00:02,2,83.1S,91.4E,-83.09446000,91.44458000,20,-.86958000,1.00062000,4.40000000
-1925-07-04,Partial,,,64.8N,128.0E,64.84058000,128.00000000,25,1.01950000,.93420000,.00000000
-1925-11-28,Partial,,,62.3N,121.8E,62.27709000,121.78973000,-8,1.16927000,.69036000,.00000000
-1925-12-28,Partial,,,64.7S,119.6E,-64.67286000,119.57715000,30,-1.49982000,.06748000,.00000000
-1924-05-23,Partial,,,61.8S,170.4W,-61.80786000,-170.38696000,-3,-1.06372000,.85772000,.00000000
-1924-11-17,Hybrid,00:01:06,66,14.2N,137.0W,14.16764000,-136.95337000,2,.52829000,1.01162000,46.50000000
-1923-05-12,Hybrid,00:00:36,36,0.2S,59.1E,-.23481000,59.08215000,7,-.25376000,1.00586000,20.90000000
-1923-11-06,Annular,00:04:14,254,19.8S,63.2E,-19.84016000,63.17743000,12,-.16492000,.95878000,151.70000000
-1922-05-02,Total,00:04:18,258,36.7N,152.8W,36.65423000,-152.78369000,17,.52134000,1.05727000,218.90000000
-1922-10-26,Annular,00:07:15,435,55.6S,12.7W,-55.60871000,-12.74829000,22,-.87633000,.91341000,671.10000000
-1921-03-23,Partial,,,60.7S,178.8W,-60.73111000,-178.81311000,-11,-1.27164000,.49778000,.00000000
-1921-04-22,Partial,,,60.7N,126.7W,60.74538000,-126.66162000,27,1.23949000,.56028000,.00000000
-1921-09-16,Partial,,,61.0N,60.3E,60.98908000,60.34753000,-6,1.44401000,.20259000,.00000000
-1921-10-15,Partial,,,60.5S,44.0W,-60.52000000,-43.97729000,32,-1.53621000,.05671000,.00000000
-1920-03-12,Total,00:01:16,76,39.9S,114.4W,-39.92966000,-114.35101000,-1,-.57207000,1.01578000,65.20000000
-1920-09-04,Hybrid,00:00:21,21,49.9N,134.7W,49.90680000,-134.66644000,4,.67241000,1.00458000,21.20000000
-1919-03-01,Annular,00:04:17,257,4.1S,105.2E,-4.05289000,105.16785000,9,.18300000,.96194000,139.90000000
-1919-08-25,Total,00:04:49,289,13.9N,14.5W,13.91153000,-14.50781000,14,-.05698000,1.05561000,183.80000000
-1918-02-18,Annular,00:07:30,450,46.0N,61.8E,45.99482000,61.80469000,19,.93121000,.92551000,755.10000000
-1918-08-14,Total,00:04:21,261,27.3S,83.1E,-27.30595000,83.07605000,24,-.75958000,1.05099000,256.50000000
-1917-01-09,Partial,,,65.2S,109.5E,-65.20548000,109.45752000,-9,-1.26939000,.50166000,.00000000
-1917-07-05,Partial,,,66.0N,135.7W,65.95927000,-135.73877000,-4,1.17180000,.67640000,.00000000
-1917-08-04,Partial,,,63.5S,148.9W,-63.50780000,-148.86676000,34,-1.52484000,.03465000,.00000000
-1917-12-29,Total,00:01:31,91,54.8S,154.9E,-54.83982000,154.88605000,1,-.51406000,1.01970000,78.70000000
-1916-06-24,Annular,00:04:53,293,49.4N,15.9W,49.37653000,-15.92590000,6,.44093000,.95191000,196.60000000
-1916-12-18,Total,00:04:39,279,12.6S,73.1W,-12.62780000,-73.06122000,11,.17471000,1.04883000,164.70000000
-1915-06-13,Annular,00:06:40,400,2.8N,21.3W,2.75801000,-21.34204000,16,-.31943000,.95182000,186.00000000
-1915-12-07,Total,00:01:36,96,38.2N,62.4E,38.16008000,62.38019000,21,.85666000,1.01824000,121.30000000
-1914-06-02,Partial,,,69.0S,55.2W,-69.00889000,-55.15491000,26,-1.06683000,.86385000,.00000000
-1914-10-28,Partial,,,71.3S,14.6E,-71.31219000,14.64587000,-7,-1.32149000,.41253000,.00000000
-1913-04-23,Total,00:04:19,259,54.3N,159.8W,54.30133000,-159.84625000,-2,.78529000,1.06294000,331.90000000
-1913-10-17,Annular,00:09:09,549,43.1S,103.1E,-43.11259000,103.11969000,3,-.67261000,.91453000,435.60000000
-1912-04-12,Total,00:06:48,408,4.3N,33.4W,4.34251000,-33.35693000,8,.04312000,1.07690000,248.90000000
-1912-10-05,Annular,00:07:55,475,2.4N,126.0E,2.44250000,126.01703000,13,.01817000,.93715000,233.70000000
-1911-04-01,Total,00:02:26,146,45.5S,114.4E,-45.54886000,114.36749000,18,-.72121000,1.03067000,148.50000000
-1911-09-24,Annular,00:01:14,74,48.8N,60.2E,48.83229000,60.22791000,23,.71439000,.98539000,73.40000000
-1910-02-20,Partial,,,69.7N,132.1E,69.73221000,132.08850000,-10,1.29541000,.45687000,.00000000
-1910-03-22,Partial,,,71.2S,61.6E,-71.24993000,61.63397000,28,-1.53883000,.02646000,.00000000
-1910-08-16,Partial,,,68.8S,34.8W,-68.79614000,-34.84937000,-5,-1.26032000,.51876000,.00000000
-1910-09-14,Partial,,,70.9N,28.4W,70.91265000,-28.40894000,33,1.36000000,.33123000,.00000000
-1909-02-09,Annular,00:09:28,568,16.3N,161.6E,16.33662000,161.61523000,0,.58924000,.93069000,320.20000000
-1909-08-05,Total,00:04:38,278,13.5S,101.7E,-13.48085000,101.67719000,5,-.57459000,1.04746000,192.70000000
-1908-01-29,Annular,00:04:13,253,30.3S,138.8E,-30.32075000,138.77087000,10,-.14482000,.96283000,136.00000000
-1908-07-25,Hybrid,00:00:10,10,32.7N,86.7W,32.69802000,-86.74170000,15,.16340000,1.00170000,6.00000000
-1907-01-18,Hybrid,00:00:27,27,81.7S,4.7E,-81.73975000,4.66028000,20,-.84871000,1.00708000,46.90000000
-1907-07-14,Annular,00:03:30,210,82.7N,36.3E,82.68983000,36.31409000,25,.95063000,.94525000,673.50000000
-1907-12-09,Partial,,,63.1N,22.1W,63.07130000,-22.11633000,-8,1.17140000,.68640000,.00000000
-1906-01-07,Partial,,,65.7S,21.5W,-65.68556000,-21.53418000,30,-1.48643000,.09123000,.00000000
-1906-06-03,Partial,,,62.5S,82.6E,-62.49536000,82.63593000,-3,-1.14704000,.71382000,.00000000
-1906-11-28,Hybrid,00:00:56,56,11.6N,89.1E,11.64047000,89.06787000,2,.52959000,1.00948000,38.20000000
-1905-05-24,Hybrid,00:00:56,56,1.6S,45.0W,-1.57449000,-44.97217000,7,-.33356000,1.00900000,32.80000000
